old_uid,new_uid,cambiados_updatedBy,restan_old_uid,total_actual_new_uid
zGLBAsWGv6c2olSG1cGXO5v5wxj2,FOaRzcvTuAQu9B19iZGRHCJ1lbY2,1027,0,1783
8ABuNBLOqLaEZda8NkoQqO7XsjC2,9smqSvHDPlUOAdWUz4POO1qA27z1,349,0,591
QUgKaurZ9KfArKgeBIzJpGkZ5hg1,NbWAIJ7lHHcZUI9eHgy7sKO46jm2,287,0,506
b9xzEd9OOBP3Dhg1UbNNGBZFoG63,5VO5JIFVjoYrYXH9RI3rrPqeUfp1,262,0,445
uSq1PxfcxzbifslCHMaZqCZnB273,G2b3tlDBBqXY8effLhItIFr0Rpa2,246,0,414
ZNjGAqaJLNYitj7ss9DIX9NTFFh1,QXID8zLn7Nar2q48kmHrzQKocHo2,170,0,253
UNhDBcxeNyeJO3ulsBPwrHJ07AI3,Oyg9MAEcWzOicoizw8VPoBM4zjN2,158,0,274
TyFz9PjbeneEK18M8GbQmxBysIK2,6LEJWLllmbPuo7JnVPZRzFxVHB82,150,0,278
6lGbKqU1fIS3zk7u4yNdf5wIpfu2,G4s1hKES9CUt44DXtVP6yOYfJcJ2,116,0,235
Ap3BdZIxfWbwE8lSitz3X0g1CJe2,nhCcNbLPwxNWHc4HQEJSN7sxB9p2,102,0,172
fAU6FNaRY7ZfNJwPKmm9IG9qPRo1,DaPWNKqHP6M8Y1N0F6VyXD4itHi1,99,0,179
RAsTG2GQhqVxrUfp2eszLQP2HhW2,4YLkjJuPL5bAPxTZJnrqv6PdPu63,57,0,106
R3Ri9w983wQkUmdju1rtvke7lfK2,ZuPK4kBWOARSAzBzIvOLmSHMW4t2,50,0,84
